refnis,locality,median_price_house,median_price_apartment
11001,AARTSELAAR,420250.0,235333.0
11002,ANVERS,344500.0,230500.0
11004,BOECHOUT,512917.0,
11005,BOOM,288625.0,211125.0
11008,BRASSCHAAT,500062.0,274750.0
11009,BRECHT,409625.0,
11013,EDEGEM,468812.0,269270.0
11016,ESSEN,360312.0,
11018,HEMIKSEM,318688.0,
11021,HOVE,490000.0,
11022,KALMTHOUT,436125.0,315000.0
11023,KAPELLEN,393500.0,252984.0
11024,KONTICH,385500.0,266500.0
11025,LINT,440125.0,
11029,MORTSEL,427750.0,255688.0
11030,NIEL,283000.0,
11035,RANST,409625.0,
11037,RUMST,326750.0,
11038,SCHELLE,360500.0,
11039,SCHILDE,543676.0,
11040,SCHOTEN,371875.0,253375.0
11044,STABROEK,350250.0,235250.0
11050,WIJNEGEM,363250.0,
11052,WOMMELGEM,392688.0,265000.0
11053,WUUSTWEZEL,394000.0,
11054,ZANDHOVEN,403688.0,
11055,ZOERSEL,466500.0,288050.0
11057,MALLE,394750.0,
12002,BERLAAR,332375.0,
12005,BONHEIDEN,466625.0,
12007,BORNEM,350750.0,287000.0
12009,DUFFEL,359812.0,
12014,HEIST-OP-DEN-BERG,322250.0,275500.0
12021,LIERRE,311875.0,259192.0
12025,MALINES,356062.0,258000.0
12026,NIJLEN,335250.0,
12029,PUTTE,368650.0,
12035,SINT-KATELIJNE-WAVER,399625.0,
12040,WILLEBROEK,302924.0,254833.0
12041,PUURS-SINT-AMANDS,364375.0,
13001,ARENDONK,343062.0,
13002,BAERLE-DUC,,
13003,BALEN,282812.0,
13004,BEERSE,348982.0,
13006,DESSEL,,
13008,GEEL,326625.0,239000.0
13010,GROBBENDONK,333500.0,
13011,HERENTALS,293750.0,233833.0
13012,HERENTHOUT,342500.0,
13013,HERSELT,305667.0,
13014,HOOGSTRATEN,426268.0,300000.0
13016,HULSHOUT,335350.0,
13017,KASTERLEE,351875.0,
13019,LILLE,351500.0,
13021,MEERHOUT,280000.0,
13023,MERKSPLAS,,
13025,MOL,318500.0,239750.0
13029,OLEN,360542.0,
13031,OUD-TURNHOUT,398625.0,
13035,RAVELS,398562.0,
13036,RETIE,331750.0,
13037,RIJKEVORSEL,382500.0,
13040,TURNHOUT,284062.0,219750.0
13044,VORSELAAR,379500.0,
13046,VOSSELAAR,387333.0,
13049,WESTERLO,308375.0,
13053,LAAKDAL,344500.0,
21001,ANDERLECHT,343750.0,198500.0
21002,AUDERGHEM,533750.0,309375.0
21003,BERCHEM-SAINTE-AGATHE,425000.0,220188.0
21004,BRUXELLES,405938.0,268688.0
21005,ETTERBEEK,642583.0,299250.0
21006,EVERE,391250.0,245000.0
21007,FOREST,609167.0,279875.0
21008,GANSHOREN,,212000.0
21009,IXELLES,742500.0,337812.0
21010,JETTE,409917.0,216750.0
21011,KOEKELBERG,,204375.0
21012,MOLENBEEK-SAINT-JEAN,336833.0,212750.0
21013,SAINT-GILLES,,296250.0
21014,SAINT-JOSSE-TEN-NOODE,,203750.0
21015,SCHAERBEEK,471250.0,253844.0
